State,Declaration Type,MONTH,YEAR
Federated States of Micronesia,Major Disaster Declaration,4,1963
Federated States of Micronesia,Major Disaster Declaration,12,1964
Federated States of Micronesia,Major Disaster Declaration,3,1967
Federated States of Micronesia,Major Disaster Declaration,4,1968
Federated States of Micronesia,Major Disaster Declaration,5,1971
Federated States of Micronesia,Major Disaster Declaration,6,1976
Federated States of Micronesia,Major Disaster Declaration,4,1976
Federated States of Micronesia,Major Disaster Declaration,12,1979
Federated States of Micronesia,Major Disaster Declaration,2,1979
Federated States of Micronesia,Major Disaster Declaration,9,1981
Federated States of Micronesia,Major Disaster Declaration,6,1986
Federated States of Micronesia,Major Disaster Declaration,11,1987
Federated States of Micronesia,Major Disaster Declaration,2,1987
Federated States of Micronesia,Major Disaster Declaration,12,1990
Federated States of Micronesia,Major Disaster Declaration,12,1991
Federated States of Micronesia,Major Disaster Declaration,1,1991
Federated States of Micronesia,Emergency Declaration,5,1992
Federated States of Micronesia,Major Disaster Declaration,2,1992
Federated States of Micronesia,Major Disaster Declaration,3,1997
Federated States of Micronesia,Major Disaster Declaration,4,1998
Federated States of Micronesia,Major Disaster Declaration,7,2002
Federated States of Micronesia,Major Disaster Declaration,5,2002
Federated States of Micronesia,Major Disaster Declaration,12,2003
Federated States of Micronesia,Major Disaster Declaration,1,2003
Federated States of Micronesia,Major Disaster Declaration,4,2004
Federated States of Micronesia,Emergency Declaration,7,2007
Florida,Major Disaster Declaration,10,1953
Florida,Major Disaster Declaration,9,1960
Florida,Major Disaster Declaration,3,1960
Florida,Major Disaster Declaration,12,1962
Florida,Major Disaster Declaration,9,1964
Florida,Major Disaster Declaration,9,1964
Florida,Major Disaster Declaration,9,1965
Florida,Major Disaster Declaration,11,1968
Florida,Major Disaster Declaration,7,1970
Florida,Major Disaster Declaration,3,1971
Florida,Major Disaster Declaration,6,1972
Florida,Major Disaster Declaration,5,1973
Florida,Major Disaster Declaration,9,1975
Florida,Major Disaster Declaration,8,1975
Florida,Major Disaster Declaration,1,1977
Florida,Major Disaster Declaration,5,1979
Florida,Major Disaster Declaration,9,1979
Florida,Emergency Declaration,3,1979
Florida,Major Disaster Declaration,9,1979
Florida,Emergency Declaration,5,1980
Florida,Major Disaster Declaration,7,1982
Florida,Major Disaster Declaration,3,1984
Florida,Fire Management Assistance Declaration,5,1985
Florida,Fire Management Assistance Declaration,5,1985
Florida,Fire Management Assistance Declaration,5,1985
Florida,Fire Management Assistance Declaration,5,1985
Florida,Major Disaster Declaration,12,1985
Florida,Major Disaster Declaration,9,1985
Florida,Major Disaster Declaration,3,1985
Florida,Major Disaster Declaration,4,1990
Florida,Major Disaster Declaration,1,1990
Florida,Major Disaster Declaration,10,1992
Florida,Major Disaster Declaration,8,1992
Florida,Major Disaster Declaration,8,1992
Florida,Major Disaster Declaration,3,1993
Florida,Major Disaster Declaration,11,1994
Florida,Major Disaster Declaration,7,1994
Florida,Emergency Declaration,7,1994
Florida,Major Disaster Declaration,10,1995
Florida,Emergency Declaration,8,1995
Florida,Major Disaster Declaration,10,1995
Florida,Major Disaster Declaration,8,1995
Florida,Major Disaster Declaration,10,1996
Florida,Major Disaster Declaration,2,1998
Florida,Emergency Declaration,9,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Fire Management Assistance Declaration,6,1998
Florida,Major Disaster Declaration,11,1998
Florida,Major Disaster Declaration,9,1998
Florida,Major Disaster Declaration,9,1998
Florida,Major Disaster Declaration,6,1998
Florida,Major Disaster Declaration,1,1998
Florida,Emergency Declaration,10,1999
Florida,Emergency Declaration,9,1999
Florida,Emergency Declaration,4,1999
Florida,Fire Management Assistance Declaration,5,1999
Florida,Fire Management Assistance Declaration,4,1999
Florida,Fire Management Assistance Declaration,4,1999
Florida,Fire Management Assistance Declaration,4,1999
Florida,Fire Management Assistance Declaration,4,1999
Florida,Fire Management Assistance Declaration,4,1999
Florida,Fire Management Assistance Declaration,4,1999
Florida,Fire Management Assistance Declaration,4,1999
Florida,Fire Management Assistance Declaration,4,1999
Florida,Fire Management Assistance Declaration,4,1999
Florida,Fire Management Assistance Declaration,4,1999
Florida,Major Disaster Declaration,10,1999
Florida,Major Disaster Declaration,9,1999
Florida,Fire Management Assistance Declaration,6,2000
Florida,Fire Management Assistance Declaration,6,2000
Florida,Fire Management Assistance Declaration,6,2000
Florida,Fire Management Assistance Declaration,5,2000
Florida,Fire Management Assistance Declaration,5,2000
Florida,Fire Management Assistance Declaration,5,2000
Florida,Fire Management Assistance Declaration,5,2000
Florida,Fire Management Assistance Declaration,5,2000
Florida,Fire Management Assistance Declaration,5,2000
Florida,Fire Management Assistance Declaration,4,2000
Florida,Major Disaster Declaration,10,2000
Florida,Major Disaster Declaration,10,2000
Florida,Fire Management Assistance Declaration,5,2001
Florida,Fire Management Assistance Declaration,5,2001
Florida,Fire Management Assistance Declaration,5,2001
Florida,Fire Management Assistance Declaration,4,2001
Florida,Fire Management Assistance Declaration,4,2001
Florida,Fire Management Assistance Declaration,4,2001
Florida,Fire Management Assistance Declaration,3,2001
Florida,Fire Management Assistance Declaration,2,2001
Florida,Fire Management Assistance Declaration,2,2001
Florida,Major Disaster Declaration,9,2001
Florida,Major Disaster Declaration,6,2001
Florida,Major Disaster Declaration,2,2001
Florida,Major Disaster Declaration,7,2003
Florida,Major Disaster Declaration,4,2003
Florida,Major Disaster Declaration,9,2004
Florida,Major Disaster Declaration,9,2004
Florida,Major Disaster Declaration,9,2004
Florida,Major Disaster Declaration,8,2004
Florida,Emergency Declaration,9,2005
Florida,Emergency Declaration,9,2005
Florida,Major Disaster Declaration,10,2005
Florida,Major Disaster Declaration,8,2005
Florida,Major Disaster Declaration,7,2005
Florida,Fire Management Assistance Declaration,5,2006
Florida,Major Disaster Declaration,2,2007
Florida,Fire Management Assistance Declaration,6,2007
Florida,Fire Management Assistance Declaration,5,2007
Florida,Fire Management Assistance Declaration,5,2007
Florida,Fire Management Assistance Declaration,5,2007
Florida,Fire Management Assistance Declaration,5,2007
Florida,Fire Management Assistance Declaration,3,2007
Florida,Major Disaster Declaration,2,2007
Florida,Emergency Declaration,9,2008
Florida,Emergency Declaration,8,2008
Florida,Fire Management Assistance Declaration,5,2008
Florida,Major Disaster Declaration,10,2008
Florida,Major Disaster Declaration,8,2008
Florida,Major Disaster Declaration,5,2009
Florida,Major Disaster Declaration,4,2009
Florida,Fire Management Assistance Declaration,5,2009
Florida,Fire Management Assistance Declaration,4,2011
Florida,Major Disaster Declaration,10,2012
Florida,Major Disaster Declaration,7,2012
Georgia,Major Disaster Declaration,5,1953
Georgia,Major Disaster Declaration,3,1954
Georgia,Major Disaster Declaration,3,1961
Georgia,Major Disaster Declaration,3,1963
Georgia,Major Disaster Declaration,11,1964
Georgia,Major Disaster Declaration,9,1964
Georgia,Major Disaster Declaration,3,1966
Georgia,Major Disaster Declaration,4,1973
Georgia,Major Disaster Declaration,6,1973
Georgia,Major Disaster Declaration,4,1974
Georgia,Major Disaster Declaration,3,1975
Georgia,Emergency Declaration,3,1975
Georgia,Major Disaster Declaration,6,1976
Georgia,Major Disaster Declaration,11,1977
Georgia,Emergency Declaration,7,1977
Georgia,Major Disaster Declaration,6,1977
Georgia,Emergency Declaration,3,1979
Georgia,Emergency Declaration,5,1984
Georgia,Major Disaster Declaration,2,1990
Georgia,Major Disaster Declaration,10,1990
Georgia,Major Disaster Declaration,3,1991
Georgia,Major Disaster Declaration,12,1992
Georgia,Major Disaster Declaration,3,1993
Georgia,Emergency Declaration,3,1993
Georgia,Major Disaster Declaration,10,1994
Georgia,Major Disaster Declaration,7,1994
Georgia,Major Disaster Declaration,3,1994
Georgia,Major Disaster Declaration,12,1995
Georgia,Major Disaster Declaration,10,1995
Georgia,Major Disaster Declaration,3,1998
Georgia,Emergency Declaration,9,1999
Georgia,Major Disaster Declaration,4,1999
Georgia,Major Disaster Declaration,2,2000
Georgia,Major Disaster Declaration,1,2000
Georgia,Fire Management Assistance Declaration,5,2001
Georgia,Major Disaster Declaration,9,2004
Georgia,Major Disaster Declaration,9,2004
Georgia,Emergency Declaration,9,2005
Georgia,Fire Management Assistance Declaration,5,2007
Georgia,Fire Management Assistance Declaration,5,2007
Georgia,Fire Management Assistance Declaration,5,2007
Georgia,Fire Management Assistance Declaration,4,2007
Georgia,Fire Management Assistance Declaration,4,2007
Georgia,Major Disaster Declaration,3,2007
Georgia,Major Disaster Declaration,5,2008
Georgia,Major Disaster Declaration,3,2008
Georgia,Major Disaster Declaration,4,2009
Georgia,Major Disaster Declaration,9,2009
Georgia,Major Disaster Declaration,4,2011
Georgia,Fire Management Assistance Declaration,6,2011
Georgia,Fire Management Assistance Declaration,6,2011
Georgia,Fire Management Assistance Declaration,3,2011
Georgia,Fire Management Assistance Declaration,3,2011
Guam,Major Disaster Declaration,11,1962
Guam,Major Disaster Declaration,4,1963
Guam,Major Disaster Declaration,5,1976
Guam,Major Disaster Declaration,1,1988
Guam,Major Disaster Declaration,12,1990
Guam,Major Disaster Declaration,12,1991
Guam,Major Disaster Declaration,8,1992
Guam,Major Disaster Declaration,12,1997
Guam,Fire Management Assistance Declaration,3,1998
Guam,Major Disaster Declaration,12,2001
Guam,Major Disaster Declaration,12,2002
Guam,Major Disaster Declaration,7,2002
Guam,Major Disaster Declaration,7,2004
Hawaii,Major Disaster Declaration,4,1955
Hawaii,Major Disaster Declaration,3,1957
Hawaii,Major Disaster Declaration,8,1959
Hawaii,Major Disaster Declaration,1,1960
Hawaii,Major Disaster Declaration,5,1960
Hawaii,Major Disaster Declaration,4,1963
Hawaii,Major Disaster Declaration,9,1968
Hawaii,Major Disaster Declaration,5,1973
Hawaii,Major Disaster Declaration,5,1974
Hawaii,Major Disaster Declaration,12,1975
Hawaii,Major Disaster Declaration,3,1979
Hawaii,Major Disaster Declaration,2,1980
Hawaii,Major Disaster Declaration,4,1982
Hawaii,Major Disaster Declaration,11,1982
Hawaii,Fire Management Assistance Declaration,3,1983
Hawaii,Major Disaster Declaration,1,1988
Hawaii,Major Disaster Declaration,5,1990
Hawaii,Major Disaster Declaration,9,1992
Hawaii,Emergency Declaration,11,1996
Hawaii,Major Disaster Declaration,11,1996
Hawaii,Fire Management Assistance Declaration,8,1998
Hawaii,Fire Management Assistance Declaration,3,1998
Hawaii,Fire Management Assistance Declaration,2,1998
Hawaii,Fire Management Assistance Declaration,3,2000
Hawaii,Major Disaster Declaration,11,2000
Hawaii,Fire Management Assistance Declaration,5,2003
Hawaii,Fire Management Assistance Declaration,9,2004
Hawaii,Fire Management Assistance Declaration,8,2005
Hawaii,Fire Management Assistance Declaration,8,2005
Hawaii,Fire Management Assistance Declaration,8,2005
Hawaii,Fire Management Assistance Declaration,8,2005
Hawaii,Major Disaster Declaration,2,2005
Hawaii,Major Disaster Declaration,5,2006
Hawaii,Fire Management Assistance Declaration,9,2006
Hawaii,Major Disaster Declaration,10,2006
Hawaii,Fire Management Assistance Declaration,10,2007
Hawaii,Fire Management Assistance Declaration,8,2007
Hawaii,Fire Management Assistance Declaration,8,2007
Hawaii,Fire Management Assistance Declaration,6,2007
Hawaii,Major Disaster Declaration,2,2008
Hawaii,Fire Management Assistance Declaration,8,2009
Hawaii,Major Disaster Declaration,1,2009
Hawaii,Fire Management Assistance Declaration,6,2010
Hawaii,Major Disaster Declaration,4,2011
Hawaii,Major Disaster Declaration,4,2012
Idaho,Major Disaster Declaration,4,1956
Idaho,Major Disaster Declaration,5,1957
Idaho,Major Disaster Declaration,7,1960
Idaho,Major Disaster Declaration,6,1961
Idaho,Major Disaster Declaration,2,1962
Idaho,Major Disaster Declaration,2,1963
Idaho,Major Disaster Declaration,12,1964
Idaho,Major Disaster Declaration,8,1967
Idaho,Major Disaster Declaration,3,1972
Idaho,Major Disaster Declaration,1,1974
Idaho,Major Disaster Declaration,6,1976
Idaho,Emergency Declaration,5,1977
Idaho,Fire Management Assistance Declaration,8,1977
Idaho,Fire Management Assistance Declaration,8,1979
Idaho,Major Disaster Declaration,5,1980
Idaho,Major Disaster Declaration,11,1983
Idaho,Major Disaster Declaration,2,1984
Idaho,Major Disaster Declaration,2,1996
Idaho,Major Disaster Declaration,6,1997
Idaho,Major Disaster Declaration,1,1997
Idaho,Major Disaster Declaration,9,2000
Idaho,Emergency Declaration,9,2005
Idaho,Major Disaster Declaration,7,2005
Idaho,Major Disaster Declaration,2,2006
Idaho,Fire Management Assistance Declaration,8,2007
Idaho,Fire Management Assistance Declaration,8,2007
Idaho,Fire Management Assistance Declaration,8,2007
Idaho,Major Disaster Declaration,7,2008
Idaho,Fire Management Assistance Declaration,8,2010
Idaho,Major Disaster Declaration,7,2010
Idaho,Major Disaster Declaration,5,2011
Idaho,Fire Management Assistance Declaration,9,2012
Idaho,Fire Management Assistance Declaration,8,2012
Illinois,Major Disaster Declaration,6,1957
Illinois,Major Disaster Declaration,5,1961
Illinois,Major Disaster Declaration,4,1965
Illinois,Major Disaster Declaration,4,1967
Illinois,Major Disaster Declaration,6,1968
Illinois,Major Disaster Declaration,8,1969
Illinois,Major Disaster Declaration,6,1969
Illinois,Major Disaster Declaration,9,1972
Illinois,Major Disaster Declaration,4,1973
Illinois,Major Disaster Declaration,6,1974
Illinois,Major Disaster Declaration,4,1974
Illinois,Major Disaster Declaration,7,1975
Illinois,Major Disaster Declaration,6,1976
Illinois,Major Disaster Declaration,4,1979
Illinois,Emergency Declaration,1,1979
Illinois,Major Disaster Declaration,6,1981
Illinois,Major Disaster Declaration,12,1982
Illinois,Major Disaster Declaration,6,1982
Illinois,Major Disaster Declaration,6,1983
Illinois,Major Disaster Declaration,3,1985
Illinois,Major Disaster Declaration,10,1986
Illinois,Major Disaster Declaration,8,1987
Illinois,Major Disaster Declaration,1,1989
Illinois,Major Disaster Declaration,6,1990
Illinois,Major Disaster Declaration,3,1990
Illinois,Major Disaster Declaration,8,1990
Illinois,Major Disaster Declaration,4,1992
Illinois,Major Disaster Declaration,7,1993
Illinois,Major Disaster Declaration,4,1994
Illinois,Major Disaster Declaration,5,1995
Illinois,Major Disaster Declaration,7,1996
Illinois,Major Disaster Declaration,5,1996
Illinois,Major Disaster Declaration,4,1996
Illinois,Major Disaster Declaration,9,1997
Illinois,Major Disaster Declaration,3,1997
Illinois,Emergency Declaration,1,1999
Illinois,Major Disaster Declaration,5,1999
Illinois,Emergency Declaration,1,2001
Illinois,Major Disaster Declaration,5,2001
Illinois,Major Disaster Declaration,5,2002
Illinois,Major Disaster Declaration,5,2003
Illinois,Major Disaster Declaration,4,2004
Illinois,Emergency Declaration,9,2005
Illinois,Emergency Declaration,2,2005
Illinois,Emergency Declaration,12,2006
Illinois,Major Disaster Declaration,3,2006
Illinois,Major Disaster Declaration,9,2007
Illinois,Major Disaster Declaration,8,2007
Illinois,Major Disaster Declaration,2,2007
Illinois,Emergency Declaration,3,2008
Illinois,Major Disaster Declaration,10,2008
Illinois,Major Disaster Declaration,6,2008
Illinois,Major Disaster Declaration,3,2008
Illinois,Major Disaster Declaration,7,2009
Illinois,Major Disaster Declaration,3,2009
Illinois,Major Disaster Declaration,8,2010
Illinois,Major Disaster Declaration,6,2011
Illinois,Major Disaster Declaration,3,2011
Indiana,Major Disaster Declaration,10,1954
Indiana,Major Disaster Declaration,1,1959
Indiana,Major Disaster Declaration,5,1961
Indiana,Major Disaster Declaration,3,1964
Indiana,Major Disaster Declaration,4,1965
Indiana,Major Disaster Declaration,7,1968
Indiana,Major Disaster Declaration,4,1974
Indiana,Emergency Declaration,2,1977
Indiana,Major Disaster Declaration,3,1978
Indiana,Emergency Declaration,1,1978
Indiana,Major Disaster Declaration,7,1979
Indiana,Major Disaster Declaration,3,1982
Indiana,Major Disaster Declaration,6,1986
Indiana,Major Disaster Declaration,6,1990
Indiana,Major Disaster Declaration,12,1990
Indiana,Major Disaster Declaration,3,1991
Indiana,Major Disaster Declaration,1,1991
Indiana,Major Disaster Declaration,9,1992
Indiana,Major Disaster Declaration,8,1992
Indiana,Major Disaster Declaration,9,1993
Indiana,Major Disaster Declaration,7,1996
Indiana,Major Disaster Declaration,4,1996
Indiana,Major Disaster Declaration,3,1997
Indiana,Major Disaster Declaration,7,1998
Indiana,Major Disaster Declaration,5,1998
Indiana,Emergency Declaration,1,1999
Indiana,Emergency Declaration,1,2001
Indiana,Major Disaster Declaration,6,2002
Indiana,Major Disaster Declaration,9,2002
Indiana,Major Disaster Declaration,9,2003
Indiana,Major Disaster Declaration,7,2003
Indiana,Major Disaster Declaration,6,2004
Indiana,Major Disaster Declaration,9,2004
Indiana,Emergency Declaration,9,2005
Indiana,Emergency Declaration,1,2005
Indiana,Major Disaster Declaration,11,2005
Indiana,Major Disaster Declaration,1,2005
Indiana,Major Disaster Declaration,10,2006
Indiana,Emergency Declaration,3,2007
Indiana,Major Disaster Declaration,11,2007
Indiana,Major Disaster Declaration,9,2008
Indiana,Major Disaster Declaration,6,2008
Indiana,Major Disaster Declaration,1,2008
Indiana,Major Disaster Declaration,4,2009
Indiana,Major Disaster Declaration,3,2009
Indiana,Major Disaster Declaration,6,2011
Indiana,Major Disaster Declaration,3,2012
Iowa,Major Disaster Declaration,6,1953
Iowa,Major Disaster Declaration,6,1954
Iowa,Major Disaster Declaration,7,1958
Iowa,Major Disaster Declaration,3,1961
Iowa,Major Disaster Declaration,9,1962
Iowa,Major Disaster Declaration,4,1965
Iowa,Major Disaster Declaration,8,1968
Iowa,Major Disaster Declaration,5,1968
Iowa,Major Disaster Declaration,8,1969
Iowa,Major Disaster Declaration,4,1969
Iowa,Major Disaster Declaration,9,1972
Iowa,Major Disaster Declaration,8,1972
Iowa,Major Disaster Declaration,5,1973
Iowa,Major Disaster Declaration,6,1974
Iowa,Emergency Declaration,3,1977
Iowa,Major Disaster Declaration,7,1979
Iowa,Emergency Declaration,4,1979
Iowa,Major Disaster Declaration,6,1984
Iowa,Major Disaster Declaration,7,1987
Iowa,Major Disaster Declaration,7,1988
Iowa,Major Disaster Declaration,9,1990
Iowa,Major Disaster Declaration,5,1990
Iowa,Major Disaster Declaration,7,1991
Iowa,Major Disaster Declaration,12,1991
Iowa,Major Disaster Declaration,10,1992
Iowa,Major Disaster Declaration,7,1993
Iowa,Major Disaster Declaration,4,1993
Iowa,Major Disaster Declaration,8,1996
Iowa,Major Disaster Declaration,6,1996
Iowa,Major Disaster Declaration,11,1997
Iowa,Major Disaster Declaration,7,1998
Iowa,Major Disaster Declaration,5,1999
Iowa,Major Disaster Declaration,7,1999
Iowa,Major Disaster Declaration,5,2001
Iowa,Major Disaster Declaration,6,2002
Iowa,Major Disaster Declaration,5,2004
Iowa,Emergency Declaration,9,2005
Iowa,Major Disaster Declaration,5,2007
Iowa,Emergency Declaration,3,2007
Iowa,Major Disaster Declaration,9,2007
Iowa,Major Disaster Declaration,3,2007
Iowa,Major Disaster Declaration,5,2008
Iowa,Major Disaster Declaration,1,2008
Iowa,Major Disaster Declaration,8,2009
Iowa,Major Disaster Declaration,7,2010
Iowa,Major Disaster Declaration,7,2010
Iowa,Major Disaster Declaration,3,2010
Iowa,Major Disaster Declaration,2,2010
Iowa,Major Disaster Declaration,8,2011
Iowa,Major Disaster Declaration,5,2011
Iowa,Major Disaster Declaration,8,2011
Iowa,Major Disaster Declaration,6,2011
Kansas,Major Disaster Declaration,5,1955
Kansas,Major Disaster Declaration,9,1957
Kansas,Major Disaster Declaration,11,1958
Kansas,Major Disaster Declaration,6,1965
Kansas,Major Disaster Declaration,6,1966
Kansas,Major Disaster Declaration,7,1967
Kansas,Major Disaster Declaration,7,1969
Kansas,Major Disaster Declaration,9,1973
Kansas,Major Disaster Declaration,5,1973
Kansas,Major Disaster Declaration,6,1974
Kansas,Major Disaster Declaration,7,1976
Kansas,Major Disaster Declaration,9,1977
Kansas,Major Disaster Declaration,6,1979
Kansas,Major Disaster Declaration,7,1981
Kansas,Major Disaster Declaration,6,1982
Kansas,Major Disaster Declaration,6,1984
Kansas,Major Disaster Declaration,10,1986
Kansas,Major Disaster Declaration,4,1991
Kansas,Major Disaster Declaration,7,1993
Kansas,Major Disaster Declaration,10,1998
Kansas,Emergency Declaration,6,1998
Kansas,Major Disaster Declaration,11,1998
Kansas,Major Disaster Declaration,5,1999
Kansas,Major Disaster Declaration,5,2000
Kansas,Major Disaster Declaration,4,2001
Kansas,Major Disaster Declaration,2,2002
Kansas,Major Disaster Declaration,5,2003
Kansas,Major Disaster Declaration,9,2004
Kansas,Major Disaster Declaration,8,2004
Kansas,Major Disaster Declaration,2,2005
Kansas,Emergency Declaration,9,2005
Kansas,Major Disaster Declaration,11,2005
Kansas,Major Disaster Declaration,8,2005
Kansas,Major Disaster Declaration,4,2006
Kansas,Fire Management Assistance Declaration,3,2006
Kansas,Major Disaster Declaration,1,2006
Kansas,Major Disaster Declaration,5,2007
Kansas,Emergency Declaration,12,2007
Kansas,Major Disaster Declaration,7,2007
Kansas,Major Disaster Declaration,1,2007
Kansas,Major Disaster Declaration,10,2008
Kansas,Major Disaster Declaration,7,2008
Kansas,Major Disaster Declaration,2,2008
Kansas,Major Disaster Declaration,6,2009
Kansas,Major Disaster Declaration,12,2009
Kansas,Major Disaster Declaration,9,2009
Kansas,Major Disaster Declaration,6,2009
Kansas,Major Disaster Declaration,8,2010
Kansas,Major Disaster Declaration,3,2010
Kansas,Major Disaster Declaration,7,2011
Kansas,Emergency Declaration,6,2011
Kansas,Fire Management Assistance Declaration,4,2011
Kansas,Major Disaster Declaration,9,2011
Kansas,Major Disaster Declaration,5,2012
Kentucky,Major Disaster Declaration,1,1957
Kentucky,Major Disaster Declaration,3,1962
Kentucky,Major Disaster Declaration,3,1963
Kentucky,Major Disaster Declaration,3,1964
Kentucky,Major Disaster Declaration,3,1967
Kentucky,Major Disaster Declaration,5,1968
Kentucky,Major Disaster Declaration,7,1969
Kentucky,Major Disaster Declaration,2,1970
Kentucky,Major Disaster Declaration,6,1970
Kentucky,Major Disaster Declaration,5,1971
Kentucky,Major Disaster Declaration,5,1972
Kentucky,Major Disaster Declaration,5,1973
Kentucky,Major Disaster Declaration,4,1974
Kentucky,Major Disaster Declaration,5,1975
Kentucky,Major Disaster Declaration,3,1975
Kentucky,Emergency Declaration,3,1975
Kentucky,Major Disaster Declaration,4,1977
Kentucky,Major Disaster Declaration,12,1978
Kentucky,Major Disaster Declaration,7,1979
Kentucky,Major Disaster Declaration,3,1981
Kentucky,Major Disaster Declaration,9,1982
Kentucky,Major Disaster Declaration,5,1984
Kentucky,Major Disaster Declaration,10,1989
Kentucky,Major Disaster Declaration,6,1989
Kentucky,Major Disaster Declaration,2,1989
Kentucky,Major Disaster Declaration,1,1991
Kentucky,Emergency Declaration,3,1993
Kentucky,Major Disaster Declaration,3,1994
Kentucky,Major Disaster Declaration,6,1995
Kentucky,Major Disaster Declaration,6,1996
Kentucky,Major Disaster Declaration,1,1996
Kentucky,Major Disaster Declaration,3,1997
Kentucky,Major Disaster Declaration,4,1998
Kentucky,Major Disaster Declaration,3,1998
Kentucky,Fire Management Assistance Declaration,11,1999
Kentucky,Major Disaster Declaration,1,2000
Kentucky,Fire Management Assistance Declaration,11,2000
Kentucky,Fire Management Assistance Declaration,11,2000
Kentucky,Major Disaster Declaration,2,2000
Kentucky,Fire Management Assistance Declaration,11,2001
Kentucky,Fire Management Assistance Declaration,11,2001
Kentucky,Fire Management Assistance Declaration,11,2001
Kentucky,Major Disaster Declaration,8,2001
Kentucky,Major Disaster Declaration,5,2002
Kentucky,Major Disaster Declaration,4,2002
Kentucky,Major Disaster Declaration,6,2003
Kentucky,Major Disaster Declaration,7,2003
Kentucky,Major Disaster Declaration,3,2003
Kentucky,Major Disaster Declaration,6,2004
Kentucky,Major Disaster Declaration,8,2004
Kentucky,Emergency Declaration,9,2005
Kentucky,Major Disaster Declaration,12,2005
Kentucky,Major Disaster Declaration,2,2005
Kentucky,Major Disaster Declaration,5,2007
Kentucky,Major Disaster Declaration,5,2008
Kentucky,Major Disaster Declaration,2,2008
Kentucky,Major Disaster Declaration,10,2008
Kentucky,Major Disaster Declaration,5,2009
Kentucky,Major Disaster Declaration,8,2009
Kentucky,Emergency Declaration,1,2009
Kentucky,Major Disaster Declaration,2,2009
Kentucky,Major Disaster Declaration,5,2010
Kentucky,Major Disaster Declaration,7,2010
Kentucky,Major Disaster Declaration,7,2011
Kentucky,Major Disaster Declaration,5,2011
Kentucky,Major Disaster Declaration,3,2012
Louisiana,Major Disaster Declaration,5,1953
Louisiana,Major Disaster Declaration,10,1956
Louisiana,Major Disaster Declaration,5,1957
Louisiana,Major Disaster Declaration,5,1958
Louisiana,Major Disaster Declaration,11,1962
Louisiana,Major Disaster Declaration,10,1964
Louisiana,Major Disaster Declaration,9,1965
Louisiana,Major Disaster Declaration,8,1969
Louisiana,Major Disaster Declaration,10,1971
Louisiana,Major Disaster Declaration,4,1973
Louisiana,Major Disaster Declaration,11,1974
Louisiana,Major Disaster Declaration,9,1974
Louisiana,Major Disaster Declaration,2,1974
Louisiana,Major Disaster Declaration,6,1975
Louisiana,Emergency Declaration,4,1975
Louisiana,Major Disaster Declaration,5,1977
Louisiana,Emergency Declaration,2,1977
Louisiana,Major Disaster Declaration,9,1978
Louisiana,Major Disaster Declaration,5,1978
Louisiana,Major Disaster Declaration,12,1978
Louisiana,Major Disaster Declaration,9,1979
Louisiana,Major Disaster Declaration,5,1979
Louisiana,Major Disaster Declaration,5,1980
Louisiana,Major Disaster Declaration,4,1980
Louisiana,Major Disaster Declaration,4,1983
Louisiana,Major Disaster Declaration,1,1983
Louisiana,Major Disaster Declaration,10,1984
Louisiana,Emergency Declaration,5,1984
Louisiana,Major Disaster Declaration,11,1985
Louisiana,Major Disaster Declaration,11,1987
Louisiana,Major Disaster Declaration,11,1989
Louisiana,Major Disaster Declaration,5,1989
Louisiana,Major Disaster Declaration,6,1989
Louisiana,Major Disaster Declaration,7,1989
Louisiana,Major Disaster Declaration,5,1991
Louisiana,Major Disaster Declaration,4,1991
Louisiana,Major Disaster Declaration,8,1992
Louisiana,Major Disaster Declaration,2,1993
Louisiana,Major Disaster Declaration,2,1994
Louisiana,Major Disaster Declaration,5,1995
Louisiana,Major Disaster Declaration,3,1997
Louisiana,Major Disaster Declaration,9,1998
Louisiana,Major Disaster Declaration,4,1999
Louisiana,Major Disaster Declaration,1,1999
Louisiana,Fire Management Assistance Declaration,9,2000
Louisiana,Major Disaster Declaration,2,2000
Louisiana,Major Disaster Declaration,6,2001
Louisiana,Major Disaster Declaration,1,2001
Louisiana,Major Disaster Declaration,10,2002
Louisiana,Major Disaster Declaration,9,2002
Louisiana,Emergency Declaration,2,2003
Louisiana,Major Disaster Declaration,9,2004
Louisiana,Major Disaster Declaration,6,2004
Louisiana,Emergency Declaration,9,2005
Louisiana,Emergency Declaration,8,2005
Louisiana,Major Disaster Declaration,9,2005
Louisiana,Major Disaster Declaration,8,2005
Louisiana,Major Disaster Declaration,8,2005
Louisiana,Major Disaster Declaration,11,2006
Louisiana,Major Disaster Declaration,2,2007
Louisiana,Emergency Declaration,9,2008
Louisiana,Emergency Declaration,8,2008
Louisiana,Major Disaster Declaration,9,2008
Louisiana,Major Disaster Declaration,9,2008
Louisiana,Major Disaster Declaration,12,2009
Louisiana,Emergency Declaration,5,2011
